City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Smolenka,52.1352,113.4974,262.15,85,100,5.0,RU,1611502938
Mankono,8.0586,-6.1897,309.2,10,0,2.11,CI,1611502938
Tazovsky,67.4667,78.7,232.6,81,13,0.95,RU,1611502938
Hobyo,5.3505,48.5268,297.86,71,1,10.12,SO,1611502788
Lodja,-3.4833,23.4333,299.86,70,45,1.49,CD,1611502938
Inhambane,-23.865,35.3833,302.15,79,40,7.2,MZ,1611502939
Grahamstown,-33.3042,26.5328,291.48,94,96,5.77,ZA,1611502939
Saint George,37.1041,-113.5841,271.15,93,1,1.54,US,1611502841
Inuvik,68.3499,-133.7218,245.15,69,5,1.54,CA,1611502939
Cayenne,4.9333,-52.3333,301.15,74,90,5.66,GF,1611502676
Beni,0.5,29.4667,296.91,62,100,2.5,CD,1611502939
General Roca,-39.0333,-67.5833,300.15,44,0,2.06,AR,1611502939
Lyuban',52.7985,28.0048,275.83,99,100,4.97,BY,1611502939
Rørvik,64.8621,11.2373,270.18,96,100,3.3,NO,1611502939
Talnakh,69.4865,88.3972,237.76,74,94,1.36,RU,1611502939
Kuruman,-27.4524,23.4325,304.62,26,65,4.3,ZA,1611502940
Sonkovo,57.7782,37.1571,273.9,98,100,4.34,RU,1611502940
Eureka,40.8021,-124.1637,279.82,93,100,3.36,US,1611502940
Waddān,29.1614,16.139,293.51,24,0,4.25,LY,1611502702
Kabala,9.5833,-11.55,308.57,10,0,1.79,SL,1611502940
Antofagasta,-23.65,-70.4,297.04,60,20,3.6,CL,1611502940
Broome,42.2506,-75.833,265.93,73,75,5.66,US,1611502940
Cap Malheureux,-19.9842,57.6142,297.59,88,60,2.62,MU,1611502940
Te Anau,-45.4167,167.7167,285.83,86,99,2.7,NZ,1611502790
Paita,-5.0892,-81.1144,300.15,57,40,7.72,PE,1611502941
Yārāda,17.65,83.2667,297.15,83,20,1.03,IN,1611502941
Thinadhoo,0.5333,72.9333,301.47,68,43,2.19,MV,1611502865
Anadyr,64.75,177.4833,247.59,76,0,3.0,RU,1611502941
Nagorsk,59.3172,50.8078,270.5,98,100,3.39,RU,1611502941
Portmore,17.9702,-76.8672,303.71,65,20,2.06,JM,1611502941
Rocha,-34.4833,-54.3333,305.03,37,0,4.91,UY,1611502941
Andenes,69.3143,16.1194,267.15,79,20,5.66,NO,1611502941
Massakory,12.996,15.7293,305.6,11,76,4.49,TD,1611502942
Half Moon Bay,37.4636,-122.4286,283.71,76,90,5.14,US,1611502942
Abalak,58.1286,68.5944,243.76,87,100,3.72,RU,1611502942
Fairhope,30.523,-87.9033,290.37,82,90,3.6,US,1611502942
Hurricane,37.1753,-113.2899,271.15,93,90,2.57,US,1611502940
Powell River,49.8496,-124.5361,276.15,100,90,4.12,CA,1611502942
Samarai,-10.6167,150.6667,300.92,78,43,4.8,PG,1611502942
Trincomalee,8.5711,81.2335,298.49,71,64,5.0,LK,1611502942
Teya,60.3778,92.6267,244.22,85,100,0.35,RU,1611502942
Ahipara,-35.1667,173.1667,292.18,93,60,4.26,NZ,1611502943
Fare,-16.7,-151.0167,300.45,71,18,5.44,PF,1611502943
Erenhot,43.6475,111.9767,264.06,90,73,2.86,CN,1611502943
Micheweni,-4.9667,39.8333,300.25,79,59,5.78,TZ,1611502943
Dosso,13.049,3.1937,306.27,9,80,5.07,NE,1611502943
Itarema,-2.9248,-39.9167,304.15,56,98,7.11,BR,1611502943
Kirakira,-10.4544,161.9205,299.59,76,100,2.8,SB,1611502777
Porto Torres,40.835,8.3972,285.15,62,40,7.2,IT,1611502944
Molchanovo,57.5817,83.7692,229.46,78,53,1.36,RU,1611502944
Fallon,39.4735,-118.7774,270.15,93,90,1.54,US,1611502944
Rio Grande,-32.035,-52.0986,301.48,74,40,4.12,BR,1611502817
Margate,51.3813,1.3862,275.93,81,100,1.79,GB,1611502787
Matadi,-5.8167,13.45,302.56,69,88,0.89,CD,1611502944
Coahuayana Viejo,18.7333,-103.6833,294.15,60,40,0.46,MX,1611502944
Valparaíso,-33.0393,-71.6273,293.15,100,75,3.09,CL,1611502938
Jørpeland,59.0225,6.0408,275.37,75,20,1.54,NO,1611502945
Lock Haven,41.137,-77.4469,269.82,48,55,0.89,US,1611502945
Bluefield,37.2698,-81.2223,273.71,59,90,2.06,US,1611502718
Tsiroanomandidy,-18.7667,46.0333,296.71,83,76,1.24,MG,1611502945
Constitución,-35.3333,-72.4167,293.49,63,51,2.38,CL,1611502945
Yuncheng,35.0231,110.9928,275.63,91,100,0.26,CN,1611502945
Halifax,44.6453,-63.5724,267.59,86,100,3.09,CA,1611502683
Médéa,36.2642,2.7539,291.15,68,40,8.75,DZ,1611502946
Broken Hill,-31.95,141.4333,303.15,19,97,4.12,AU,1611502946
Valença,-13.3703,-39.0731,299.62,75,100,2.44,BR,1611502946
Itacoatiara,-3.1431,-58.4442,303.69,63,38,2.07,BR,1611502946
Barranca,-10.75,-77.7667,297.99,62,26,4.53,PE,1611502946
Khāmgaon,20.6833,76.5667,294.95,31,0,2.42,IN,1611502946
Udachny,66.4167,112.4,233.71,79,3,1.23,RU,1611502946
Natal,-5.795,-35.2094,304.15,66,75,7.72,BR,1611502648
Miranda,3.2499,-76.2281,299.15,65,40,2.57,CO,1611502947
Looc,12.2605,121.9926,298.8,84,16,3.24,PH,1611502947
Banda Aceh,5.5577,95.3222,298.47,82,29,4.85,ID,1611502947
Atlantic City,39.3643,-74.4229,271.15,40,1,7.72,US,1611502947
Port-Cartier,50.0334,-66.8654,275.37,64,100,7.2,CA,1611502947
Port Augusta,-32.5,137.7667,303.15,35,40,5.66,AU,1611502947
Verkhnevilyuysk,63.4453,120.3167,228.46,76,55,1.66,RU,1611502947
Bataiporã,-22.2953,-53.2711,302.27,65,93,2.4,BR,1611502948
Alushta,44.6667,34.4167,281.62,72,100,0.82,UA,1611502948
Kitimat,54.0524,-128.6534,267.15,86,90,7.72,CA,1611502769
Złocieniec,53.5329,16.0113,272.59,96,100,1.28,PL,1611502948
Yagodnoye,62.55,149.6667,239.8,82,100,0.95,RU,1611502948
Terrell,32.736,-96.2753,285.37,100,90,3.09,US,1611502948
Pasni,25.2631,63.471,293.02,30,0,1.76,PK,1611502948
Barabai,-2.5833,115.3833,296.85,87,100,0.48,ID,1611502948
Pochutla,15.7432,-96.4661,298.15,65,75,1.05,MX,1611502948
Inderka,53.2485,46.2582,274.23,92,100,4.38,RU,1611502948
Dongsheng,39.8161,109.9776,271.18,87,100,3.91,CN,1611502949
Kuala Terengganu,5.3302,103.1408,298.15,88,40,1.03,MY,1611502949
Aketi,2.7388,23.7833,305.02,34,100,0.98,CD,1611502949
Ekibastuz,51.6667,75.3667,240.07,84,0,1.5,KZ,1611502949
Lakatoro,-16.0999,167.4164,299.05,85,100,3.28,VU,1611502949
Honiara,-9.4333,159.95,297.71,76,57,0.91,SB,1611502778
Talcahuano,-36.7167,-73.1167,292.15,68,20,2.06,CL,1611502949
Cherlak,54.155,74.8055,235.7,82,6,1.67,RU,1611502949
Champerico,14.3,-91.9167,300.15,57,0,1.38,GT,1611502776
Saint-Paul,-21.0096,55.2707,299.15,78,40,2.57,RE,1611502950
Egvekinot,66.3167,-179.1667,252.78,84,0,2.29,RU,1611502950
Ayna,-12.65,-73.9167,288.15,63,90,3.09,PE,1611502950
Nishihara,26.1842,127.7558,289.15,82,20,1.03,JP,1611502950
Taganak,6.0833,118.3,299.15,94,20,1.54,PH,1611502950
Soe,-9.8607,124.284,293.1,100,99,1.35,ID,1611502950
Manggar,-2.8833,108.2667,299.73,84,100,1.82,ID,1611502951
Wałcz,53.2779,16.4712,273.15,98,100,0.7,PL,1611502952
Nome,64.5011,-165.4064,265.15,93,90,3.6,US,1611502781
Kilindoni,-7.9139,39.6668,301.29,73,100,4.11,TZ,1611502952
Innisfail,-17.5333,146.0333,295.36,83,95,1.62,AU,1611502952
Zhuangyuan,37.2975,120.8256,277.59,82,100,1.29,CN,1611502952
Rizhao,35.4275,119.4553,276.44,90,100,2.08,CN,1611502952
Xiaoweizhai,26.1903,107.5125,283.92,89,99,1.23,CN,1611502953
Nampula,-15.1165,39.2666,297.31,91,100,1.14,MZ,1611502953
Kosh-Agach,50.0,88.6667,246.5,76,100,0.78,RU,1611502953
Evensk,61.95,159.2333,244.03,77,11,4.68,RU,1611502953
Hastings,50.8552,0.5729,277.59,76,100,2.24,GB,1611502953
Buraidah,26.326,43.975,292.15,30,0,2.57,SA,1611502953
Goma,-1.6792,29.2228,293.1,77,97,0.5,CD,1611502953
Maragogi,-9.0122,-35.2225,301.76,66,38,5.87,BR,1611502953
Neyshabur,36.2133,58.7958,273.35,69,0,0.37,IR,1611502824
Sittwe,20.15,92.9,293.27,67,23,5.9,MM,1611502954
Road Town,18.4167,-64.6167,301.15,69,40,3.09,VG,1611502954
Rockhampton,-23.3833,150.5,296.15,88,40,2.57,AU,1611502954
Berbera,10.4396,45.0143,297.43,66,100,4.95,SO,1611502954
Kamień Pomorski,53.9685,14.7726,274.82,100,90,1.03,PL,1611502954
Lufilufi,-13.8745,-171.5986,298.15,88,20,1.54,WS,1611502954
Dukat,62.55,155.55,235.07,80,96,1.77,RU,1611502954
Camacha,33.0833,-16.3333,292.15,72,20,2.06,PT,1611502954
Vanimo,-2.6741,141.3028,298.92,83,100,2.0,PG,1611502955
Amarkantak,22.6667,81.75,287.8,46,0,1.6,IN,1611502955
Zhireken,52.8249,117.3076,255.09,84,100,3.57,RU,1611502955
Bakchar,57.0186,82.0711,231.18,80,51,1.64,RU,1611502955
Oktyabr'skoye,43.0645,44.7417,272.15,86,31,4.0,RU,1611502955
Jining,35.405,116.5814,279.04,63,100,1.0,CN,1611502955
Madimba,-10.4,40.3333,300.06,74,95,1.62,TZ,1611502955
Erdemli,36.605,34.3084,284.24,50,65,4.33,TR,1611502955
Zapolyarnyy,69.4154,30.8136,258.15,78,75,2.57,RU,1611502955
Batemans Bay,-35.7167,150.1833,295.37,96,86,1.34,AU,1611502788
San Rafael,-34.6177,-68.3301,307.98,19,0,6.39,AR,1611502956
Sinnamary,5.3833,-52.95,299.79,77,98,6.16,GF,1611502956
Dunedin,-45.8742,170.5036,286.48,84,80,0.89,NZ,1611502956
Krutinka,56.0055,71.5113,241.59,84,98,3.42,RU,1611502956
Suntar,62.1444,117.6319,229.56,75,0,1.65,RU,1611502956
Vysokogornyy,50.1167,139.15,250.5,89,100,1.47,RU,1611502956
Gamba,-2.65,10.0,300.71,77,98,3.74,GA,1611502777
Vieux-Habitants,16.0589,-61.7659,302.15,51,20,5.14,GP,1611502956
Jasper,37.2001,-94.3502,279.26,93,90,2.06,US,1611502957
Ibrā’,22.6906,58.5334,290.2,37,0,2.06,OM,1611502957
Nago,26.5881,127.9761,292.15,82,20,1.03,JP,1611502825
Zhicheng,30.2956,111.5047,279.26,96,100,2.09,CN,1611502957
Phayao,19.25,100.25,291.95,60,49,0.77,TH,1611502957
Oriximiná,-1.7656,-55.8661,305.97,46,0,2.26,BR,1611502957
Bairiki Village,1.3292,172.9752,297.15,88,20,2.06,KI,1611502957
Faranah,10.0404,-10.7434,308.41,10,0,2.51,GN,1611502957
Kavaratti,10.5669,72.642,300.72,78,8,4.68,IN,1611502782
Puerto Baquerizo Moreno,-0.9,-89.6,300.15,83,75,5.14,EC,1611502957
Lubango,-14.9172,13.4925,294.15,39,75,6.17,AO,1611502958
Vikhorevka,56.1201,101.1636,254.26,84,100,2.0,RU,1611502958
Barra de Tecoanapa,16.5167,-98.75,300.0,69,100,0.81,MX,1611502958
Stepnogorsk,52.3544,71.8869,244.03,84,6,3.57,KZ,1611502958
Kieta,-6.2167,155.6333,298.84,72,94,1.5,PG,1611502958
Galveston,29.3669,-94.9669,294.26,94,90,4.63,US,1611502957
Chu,43.5983,73.7614,265.37,56,100,1.79,KZ,1611502958
Gornopravdinsk,60.05,69.9,239.57,83,100,2.76,RU,1611502959
Volchanets,42.9131,132.7469,270.87,86,0,2.98,RU,1611502959
Magistral'nyy,56.1725,107.4458,246.82,87,90,0.99,RU,1611502959
Vanavara,60.34,102.2797,243.69,87,99,1.28,RU,1611502959
Pindushi,62.9152,34.58,274.31,98,100,3.75,RU,1611502959
Nanyamba,-10.6833,39.8333,297.04,91,99,1.5,TZ,1611502959
Aksu,41.1231,80.2644,266.33,90,0,0.76,CN,1611502789
Senador Canedo,-16.7081,-49.0931,303.15,45,20,3.6,BR,1611502959
Avera,33.194,-82.5271,282.59,49,75,2.57,US,1611502779
Guerrero Negro,27.9769,-114.0611,288.03,57,6,5.68,MX,1611502775
Berdigestyakh,62.0989,126.6992,226.89,76,82,1.52,RU,1611502960
Lutkun,41.4808,47.6858,273.73,63,0,4.34,RU,1611502960
That Phanom,16.9364,104.7104,295.3,50,5,1.23,TH,1611502960
Sørland,67.667,12.6934,271.15,80,75,5.66,NO,1611502960
Waingapu,-9.6567,120.2641,299.33,78,100,2.61,ID,1611502960
Pitimbu,-7.4706,-34.8086,303.15,62,75,7.2,BR,1611502960
Karratha,-20.7377,116.8463,303.31,40,57,9.68,AU,1611502670
Nieuwpoort,51.1244,2.7735,278.15,80,75,6.69,BE,1611502960
Temir,49.1414,57.13,267.82,98,100,2.61,KZ,1611502960
Mombetsu,44.3525,143.3525,268.22,92,0,2.65,JP,1611502961
Black River,18.0264,-77.8487,302.15,65,20,5.14,JM,1611502961
College,64.8569,-147.8028,257.59,77,20,2.06,US,1611502535
Caravelas,-17.7125,-39.2481,302.34,57,79,3.56,BR,1611502961
Sharkan,57.2989,53.8712,270.51,99,100,1.35,RU,1611502961
Nachingwea,-10.3833,38.7667,296.26,93,100,1.38,TZ,1611502961
Lebowakgomo,-24.2,29.5,293.15,83,75,10.8,ZA,1611502962
Lucea,18.451,-78.1736,302.15,65,20,5.14,JM,1611502962
Blagoyevo,63.3667,47.9167,267.14,97,100,3.2,RU,1611502962
Wattegama,6.7989,81.4808,299.15,89,40,3.6,LK,1611502962
Bukama,-9.2,25.85,294.05,93,100,2.78,CD,1611502962
Tornio,65.8481,24.1466,263.15,92,90,3.6,FI,1611502962
Atlantic Beach,30.3344,-81.3987,291.48,77,90,5.14,US,1611502962
Tupik,54.4253,119.9327,244.66,84,100,1.01,RU,1611502962
Menongue,-14.6585,17.691,299.59,49,39,1.68,AO,1611502963
Basco,20.4487,121.9702,295.44,80,100,10.91,PH,1611502963
Mazagão,-0.115,-51.2894,306.15,66,40,5.14,BR,1611502963
Chumikan,54.7183,135.315,245.34,79,0,8.26,RU,1611502963
Lubao,14.9167,120.55,299.15,83,75,1.03,PH,1611502963
Barcelona,41.3888,2.159,289.15,39,20,2.57,ES,1611502244
